id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
2595,2024-07-30 08:00:49.928939,4.9,2.5,4.5,1.7,2
2594,2024-07-30 08:00:48.916416,6.1,2.8,4.0,1.3,1
2593,2024-07-30 08:00:47.911661,4.6,3.2,1.4,0.2,0
2592,2024-07-30 08:00:46.903981,7.2,3.6,6.1,2.5,2
2591,2024-07-30 08:00:45.898603,5.7,2.8,4.5,1.3,1
2590,2024-07-30 08:00:44.893209,5.8,2.6,4.0,1.2,1
2589,2024-07-30 08:00:43.889254,5.0,3.3,1.4,0.2,0
2588,2024-07-30 08:00:42.883631,4.9,2.5,4.5,1.7,2
2587,2024-07-30 08:00:41.801976,5.7,3.8,1.7,0.3,0
2586,2024-07-30 08:00:40.788082,7.1,3.0,5.9,2.1,2
2585,2024-07-30 08:00:39.782006,6.6,2.9,4.6,1.3,1
2584,2024-07-30 08:00:38.776317,6.7,3.0,5.0,1.7,1
2583,2024-07-30 08:00:37.759832,6.1,2.6,5.6,1.4,2
2582,2024-07-30 08:00:36.749888,5.0,3.6,1.4,0.2,0
2581,2024-07-30 08:00:35.740777,7.2,3.2,6.0,1.8,2
2580,2024-07-30 08:00:34.730154,5.1,3.5,1.4,0.2,0
2579,2024-07-30 08:00:33.725159,6.5,3.2,5.1,2.0,2
2578,2024-07-30 08:00:32.718358,5.4,3.9,1.3,0.4,0
2577,2024-07-30 08:00:31.692762,4.5,2.3,1.3,0.3,0
2576,2024-07-30 08:00:30.674046,5.2,3.5,1.5,0.2,0
2575,2024-07-30 08:00:29.669185,6.1,3.0,4.6,1.4,1
2574,2024-07-30 08:00:28.655445,6.3,3.4,5.6,2.4,2
2573,2024-07-30 08:00:27.647086,5.1,3.7,1.5,0.4,0
2572,2024-07-30 08:00:26.642034,4.4,3.0,1.3,0.2,0
2571,2024-07-30 08:00:25.637340,6.7,3.1,5.6,2.4,2
2570,2024-07-30 08:00:24.630210,6.3,2.8,5.1,1.5,2
2569,2024-07-30 08:00:23.625077,6.1,2.9,4.7,1.4,1
2568,2024-07-30 08:00:22.617854,5.6,2.8,4.9,2.0,2
2567,2024-07-30 08:00:21.613332,6.5,3.0,5.2,2.0,2
2566,2024-07-30 08:00:20.604409,6.0,2.9,4.5,1.5,1
2565,2024-07-30 08:00:19.600308,5.5,2.3,4.0,1.3,1
2564,2024-07-30 08:00:18.591585,6.3,3.4,5.6,2.4,2
2563,2024-07-30 08:00:17.584859,5.8,2.7,5.1,1.9,2
2562,2024-07-30 08:00:16.564657,7.2,3.0,5.8,1.6,2
2561,2024-07-30 08:00:15.548274,5.7,4.4,1.5,0.4,0
2560,2024-07-30 08:00:14.538623,6.4,2.8,5.6,2.2,2
2559,2024-07-30 08:00:13.520981,5.7,3.8,1.7,0.3,0
2558,2024-07-30 08:00:12.513735,6.0,2.2,5.0,1.5,2
2557,2024-07-30 08:00:11.504661,6.2,2.9,4.3,1.3,1
2556,2024-07-30 08:00:10.489126,4.6,3.4,1.4,0.3,0
2555,2024-07-30 08:00:09.471231,6.7,3.3,5.7,2.5,2
2554,2024-07-30 08:00:08.465458,5.8,2.6,4.0,1.2,1
2553,2024-07-30 08:00:07.457406,4.8,3.1,1.6,0.2,0
2552,2024-07-30 08:00:06.439913,6.4,2.8,5.6,2.1,2
2551,2024-07-30 08:00:05.432452,5.4,3.9,1.3,0.4,0
2550,2024-07-30 08:00:04.417883,7.1,3.0,5.9,2.1,2
2549,2024-07-30 08:00:03.412159,5.0,3.6,1.4,0.2,0
2548,2024-07-30 08:00:02.396718,4.6,3.1,1.5,0.2,0
2547,2024-07-30 08:00:01.379636,6.3,3.3,4.7,1.6,1
2546,2024-07-30 08:00:00.365455,6.1,2.9,4.7,1.4,1
2545,2024-07-30 07:59:59.348058,6.0,3.4,4.5,1.6,1
2544,2024-07-30 07:59:58.341920,5.4,3.4,1.5,0.4,0
2543,2024-07-30 07:59:57.335306,6.9,3.2,5.7,2.3,2
2542,2024-07-30 07:59:56.315300,7.4,2.8,6.1,1.9,2
2541,2024-07-30 07:59:55.301668,5.7,4.4,1.5,0.4,0
2540,2024-07-30 07:59:54.266853,4.9,3.6,1.4,0.1,0
2539,2024-07-30 07:59:53.236622,6.3,2.8,5.1,1.5,2
2538,2024-07-30 07:59:52.209090,6.0,3.4,4.5,1.6,1
2537,2024-07-30 07:59:51.196270,5.5,2.6,4.4,1.2,1
2536,2024-07-30 07:59:50.185667,6.5,3.0,5.5,1.8,2
